Area,Midpoint,Confidence,ID,Class
2632.3967,"(735.9903564453125, 534.578369140625)",0.61525327,1.0,2.0
2491.629,"(736.5449829101562, 536.2429809570312)",0.5820026,1.0,2.0
2451.1465,"(737.0698852539062, 537.5208740234375)",0.596478,1.0,2.0
2418.355,"(737.556396484375, 538.5202026367188)",0.6051636,1.0,2.0
2417.7031,"(737.5645751953125, 539.26171875)",0.5818417,1.0,2.0
2409.4658,"(737.1526489257812, 539.725341796875)",0.59057045,1.0,2.0
2383.945,"(736.29833984375, 539.4788818359375)",0.59549713,1.0,2.0
2308.0164,"(735.6869506835938, 538.830322265625)",0.5533211,1.0,2.0
2367.338,"(735.8265380859375, 537.1738891601562)",0.54113907,1.0,2.0
2380.502,"(735.6834716796875, 536.3052978515625)",0.59437346,1.0,2.0
2370.7478,"(735.58642578125, 535.789306640625)",0.5846402,1.0,2.0
2385.9216,"(735.5135498046875, 535.459228515625)",0.595808,1.0,2.0
2389.277,"(735.2723388671875, 535.7432250976562)",0.5803087,1.0,2.0
2417.2703,"(735.3175048828125, 536.1818237304688)",0.5702668,1.0,2.0
2409.7568,"(735.321533203125, 537.2049560546875)",0.5644919,1.0,2.0
2329.6292,"(734.4483032226562, 537.8865966796875)",0.63787526,1.0,2.0
2352.412,"(734.469482421875, 538.3016967773438)",0.62365246,1.0,2.0
2398.6145,"(734.6018676757812, 537.9757080078125)",0.6216009,1.0,2.0
2417.2969,"(734.8519897460938, 537.2402954101562)",0.6134186,1.0,2.0
2497.7676,"(735.781005859375, 536.9841918945312)",0.62658757,1.0,2.0
2558.993,"(735.970947265625, 535.7056274414062)",0.62240785,1.0,2.0
2746.6177,"(736.1318359375, 534.1735229492188)",0.6117957,1.0,2.0
2820.8145,"(736.2974853515625, 533.6691284179688)",0.60306257,1.0,2.0
2804.529,"(736.05029296875, 532.6679077148438)",0.61290514,1.0,2.0
2790.694,"(735.20458984375, 532.18310546875)",0.5967507,1.0,2.0
2758.0383,"(734.94921875, 532.3566284179688)",0.5572927,1.0,2.0
2738.1138,"(734.5145263671875, 533.2460327148438)",0.54224205,1.0,2.0
2635.1804,"(733.951171875, 534.9339599609375)",0.5695432,1.0,2.0
2469.7102,"(733.8668212890625, 537.51416015625)",0.5815634,1.0,2.0
